data_size,seed,val_bleu,val_chrf,val_loss,test_bleu,test_chrf,model_path,failed
100,123,0.37942047924678446,61.79740009363924,1.6866151094436646,0.3720262153638651,62.11409631801067,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_100/seed_123/training/final_model,
100,42,0.38000105452112803,61.86859589452048,1.6846165657043457,0.37357390424088377,62.233115951323995,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_100/seed_42/training/final_model,
100,456,0.3797409898429672,61.80303251625465,1.6869009733200073,0.37284992570334263,62.172950238164326,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_100/seed_456/training/final_model,
1000,123,0.5332884916868184,73.4099649393782,0.8896093368530273,0.5230864011110734,73.29684196505772,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_1000/seed_123/training/final_model,
1000,42,0.5283459766542793,73.30454240251169,0.8950850367546082,0.5195857079970015,73.17880934353602,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_1000/seed_42/training/final_model,
1000,456,0.5331981503503027,73.27236667487804,0.8976831436157227,0.5181316581325742,72.86734117197473,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_1000/seed_456/training/final_model,
10000,123,0.6174222574804612,78.47094072543486,0.6477444171905518,0.6093094410138752,78.53192953051628,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_10000/seed_123/training/final_model,
10000,42,0.6135330369593283,78.28780156963829,0.6484986543655396,0.607050823945923,78.54270642621974,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_10000/seed_42/training/final_model,
10000,456,0.6157756644645987,78.38711940511853,0.6497719287872314,0.6090220464940127,78.67330924327284,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_10000/seed_456/training/final_model,
13935,123,0.6262886145201834,79.05080000095528,0.6209472417831421,0.6197726933742245,79.30846298685411,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_13935/seed_123/training/final_model,
13935,42,0.6256860809397246,79.0081739612113,0.6212741732597351,0.6159736911080002,79.1101764551083,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_13935/seed_42/training/final_model,
13935,456,0.6249232087718505,78.9474107338507,0.6188623905181885,0.6194642456664893,79.33234164232177,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_13935/seed_456/training/final_model,
2000,123,0.5332131597144844,73.75617936783536,0.8597062826156616,0.5237213386119727,73.68123374657517,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_2000/seed_123/training/final_model,
2000,42,0.5407509075621084,73.81753527767997,0.8637454509735107,0.5295235628788583,73.74298373690861,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_2000/seed_42/training/final_model,
2000,456,0.5448161018333076,74.11854255642282,0.8658656477928162,0.5296270080304997,73.8925839281079,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_2000/seed_456/training/final_model,
4000,123,0.5866879143157562,76.5935838465524,0.7397162318229675,0.572309691680673,76.34716958487438,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_4000/seed_123/training/final_model,
4000,42,0.582280923695876,76.35375222541464,0.7492569088935852,0.5709283200001138,76.24600499217466,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_4000/seed_42/training/final_model,
4000,456,0.5754790092875802,75.99207925985195,0.7514714598655701,0.5671022026370881,75.891499048959,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_4000/seed_456/training/final_model,
500,123,0.4961577707073974,70.61927787546585,1.018396019935608,0.48508631619504,70.51887384611852,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_500/seed_123/training/final_model,
500,42,0.4940609523207999,70.24536232373684,1.019585371017456,0.4816616802165438,70.08703288135911,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_500/seed_42/training/final_model,
500,456,0.49706542915958307,70.36253617521261,1.0211658477783203,0.4845615392831707,70.26611214714228,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_500/seed_456/training/final_model,
6000,123,0.5957747881377871,77.29374866564213,0.7094830274581909,0.5815701221192646,77.03894119891224,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_6000/seed_123/training/final_model,
6000,42,0.5956620369030243,77.08492084547458,0.7011321783065796,0.5859545542497526,76.99984739469895,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_6000/seed_42/training/final_model,
6000,456,0.5960900828563575,77.16320225215645,0.6999050378799438,0.5874773951163673,77.17807118424194,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_6000/seed_456/training/final_model,
8000,123,0.6106930343289007,77.97886330784411,0.6696460247039795,0.5999191945288944,78.05871209752776,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_8000/seed_123/training/final_model,
8000,42,0.6069889290044171,77.9283353881547,0.6693853139877319,0.5986173883339172,77.88235825098074,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_8000/seed_42/training/final_model,
8000,456,0.6093468777503521,78.01152867662029,0.6679583191871643,0.5996450088403789,77.83590967993173,/gorilla/proj/uppmax2026-1-123/uppmax2026-1-123/private/yaxj1/mt_oil_no/outputs/exp1_data_scaling/size_8000/seed_456/training/final_model,
